model	author	data	time	time_std	dTrain	dTrain_std	dTest	dTest_std	dTotal	dTotal_std	params
Louvain	Ilya	glass_all	16.5077	0.1173	-0.0007	0.0062	0.0007	0.0062	-0.0602	0.0009	0
Genetic	Roman	glass_all	939.5011	21.5166	-0.0036	0.0081	0.0036	0.0081	-0.4993	0.0012	0
Genetic	Roman	glass_posneg	83.4405	2.6868	0.0013	0.0092	-0.0013	0.0092	-0.4982	0.0034	0
Louvain	Ilya	glass_posneg	3.3540	0.2874	-0.0162	0.0693	0.0162	0.0693	-0.1180	0.0012	0
Genetic	Roman	glylec	67.8445	1.7943	-0.0072	0.0180	0.0072	0.0180	-0.4798	0.0040	0
Louvain	Ilya	glylec	9.3317	0.3560	0.1030	0.2189	-0.1030	0.2189	-0.8527	0.0122	0
