model	author	data	time	time_std	dTrain	dTrain_std	dVal	dVal_std	dTest	dTest_std	dTotal	dTotal_std	params
Louvain	Ilya	glass_all	17.6878	1.1786	0.0135	0.0197	-0.0147	0.0062	0.0012	0.0171	-0.0641	0.0028	0
Genetic	Roman	glass_all	985.0024	22.7978	-0.0701	0.0116	0.0099	0.0084	0.0602	0.0187	-0.6665	0.0002	0
Genetic	Roman	glass_posneg	90.1511	1.8643	-0.0185	0.0104	-0.0100	0.0199	0.0285	0.0096	-0.6659	0.0004	0
Louvain	Ilya	glass_posneg	3.4223	0.5833	-0.0444	0.0260	0.0446	0.0653	-0.0002	0.0401	-0.1156	0.0011	0
Louvain	Ilya	glylec	9.2518	0.5756	0.1108	0.0972	-0.0674	0.0778	-0.0434	0.0503	-0.8719	0.0075	0
Genetic	Roman	glylec	74.0192	3.1405	-0.1453	0.0081	0.0187	0.0227	0.1266	0.0209	-0.6499	0.0017	0
